model_name;core_components;manufacturer_of_record
FlexNode Ultra Lite;Topaz Module Wave / Cedar Grid Arc;Mosaic Components Inc.
MiraKey Mini Lite;Violet Matrix / Sonic Bridge Vault;Clearwater Electronics Inc.
TopazPhone Mini Edge;Slate Kernel Vault;Clearwater Manufacturing Inc.
SenseKey;Cerulean Arc / Magenta Grid;BrightWave Works Inc.
QuartzBook Air;Cerulean Arc / Magenta Grid;Meadow Electronics Inc.
QuartzPad Edge;Lyra Wave Drive;Seabird Manufacturing Inc.
SignalLink Gen;Azure Stack Mesh;Evergreen Group Inc.
Citrine Pulse Flex Copperline;Citrine Pulse Flex;Copperline Industries Inc.
ArgoWatch SE Air Plus;Graphite Bridge;Evergreen Holdings Inc.
MintLink Gen Lite;Violet Vault;Skyforge Labs Inc.
Violet Vault Skyforge;Violet Vault;Skyforge Labs Inc.
SilverPhone Lite Air;Cinder Beam;Springboard Group Inc.
SaffronWatch SE Air Plus;Beryl Wave Sense;Seabird Manufacturing Inc.
ArgoSpeaker Edge Lite;Auric Matrix Dock;Seabird Labs Inc.
SaffronBuds Lite;Ivory Layer;Zenith Group Inc.
NebulaBuds Lite;Frost Fabric;Sunpeak Group Inc.
UmberRouter Pro;Violet Bridge;Mountain Components Inc.
Atlas Frame EchoLabs;Atlas Frame;EchoLabs Systems Inc.
SaffronWatch Plus Lite;Umbral Edge;Glacier Manufacturing Inc.
MiraWatch Plus Pro;Magenta Signal;Windmill Labs Inc.
SolHub Mini SE Air;Zen Engine;BrightWave Labs Inc.
QuartzDock Mini;Ember Sync;Catalyst Systems Inc.
TopazWatch Pro SE;Graphite Layer;Northwind Electronics Inc.
Maple Grid DeepField;Maple Grid;DeepField Systems Inc.
Maple Grid Astra;Maple Grid;Astra Technologies Inc.
Maple Grid Aurora;Maple Grid;Aurora Industries Inc.
FlexStand;Pulse Wave;Seabird Manufacturing Inc.
JadeBeam Mini Pro;Violet Layer;Mosaic Holdings Inc.
IndigoCase Pro Mini;Azure Shield Drive;Glacier Manufacturing Inc.
TealStand Edge;Atlas Grid Signal / Graphite Link;Mosaic Systems Inc.
SilverLink Lite;Umbral Sense;Aurora Industries Inc.
Teal Layer SilverLine;Teal Layer;SilverLine Industries Inc.
ArgoPad Edge;Copper Signal Stack;Highland Industries Inc.
VectorCharge Edge;Onyx Signal Sync;Springboard Group Inc.
BridgeRouter Gen;Astra Sync / Coda Frame;Mosaic Systems Inc.
FlexCase Gen Lite;Nova Kernel;Mountain Group Inc.
LumenPhone Plus;Sonic Bridge Vault / Ivory Mesh;EchoLabs Industries Inc.
EchoBuds Mini Ultra;Beryl Layer;Windmill Labs Inc.
AstraSpeaker SE Gen Lite;Astra Link Shield;Crown Devices Inc.
SummitRouter Air;Citrine Sense;Glacier Manufacturing Inc.
Echo Stack Orion;Echo Stack;Orion Technologies Inc.
TopazBeam Edge;Cobalt Sync;Seabird Manufacturing Inc.
NimbusDock Mini;Terra Node;Riverstone Works Inc.
EdgeCam Edge Max;Graphite Matrix Arc;NovaWorks Devices Inc.
TerraWatch Plus SE;Opal Layer;Stonebridge Holdings Inc.
KairoDrive Max SE;Topaz Arc / Atlas Kernel / Terra Drive Dock / Quanta Drive Vector / Crimson Dock / Helio Engine;Glacier Manufacturing Inc.
HarborPad Lite;Magenta Stack Dock;Lumen Labs Inc.
KairoSpeaker Ultra Plus;Pulse Hub;Springboard Group Inc.
Aero Module Arc BlueRiver;Aero Module Arc;BlueRiver Technologies Inc.
BridgeSpeaker Pro Ultra;Pulse Matrix;Highland Industries Inc.
Copper Arc Nightfall;Copper Arc;Nightfall Electronics Inc.
AzureDock Pro;Aero Module Arc;Springboard Group Inc.
Quartz Edge Windmill;Quartz Edge;Windmill Manufacturing Inc.
WaveLink Mini Lite Mini;Mira Core Drive / Pearl Engine Layer / Crimson Kernel Edge;Glacier Labs Inc.
CopperBeam Edge;Helio Node;Skylark Manufacturing Inc.
HarborWatch Pro Pro;Copper Layer;Copperline Systems Inc.
Sable Grid Sense Mosaic;Sable Grid Sense;Mosaic Systems Inc.
ArgoStand SE Air;Lime Node Beam;Saffron Holdings Inc.
AzureRouter Mini SE Air;Lyra Grid Pulse;BlueRiver Labs Inc.
KairoStand Edge;Sierra Hub / Golden Hub;Nightfall Technologies Inc.
FlexLink Mini Edge Gen;Luna Wave / Magenta Core;Copperline Group Inc.
Aero Module Arc EchoLabs;Aero Module Arc;EchoLabs Group Inc.
PulseLink Lite Plus;Citrine Signal;Harbor Systems Inc.
Aero Fabric Hub Aurora;Aero Fabric Hub;Aurora Industries Inc.
PhotonNode Mini;Azure Core Arc;Windmill Labs Inc.
PearlPad Mini Mini;Orion Pulse;Sunpeak Holdings Inc.
AzureSpeaker SE SE Air;Terra Kernel / Umber Arc;Mosaic Components Inc.
PulseCam Edge Pro;Astra Kernel Hub;Starlight Group Inc.
Cedar Beam Skylark;Cedar Beam;Skylark Manufacturing Inc.
SaffronStand Ultra Edge;Cinder Bridge Module;Ironwood Group Inc.
CoreCam Max Mini;Frost Engine Dock / Slate Beam / Frost Fabric Wave;Lighthouse Electronics Inc.
VectorBook Plus;Orion Kernel;Skyforge Labs Inc.
Lyra Layer Astra;Lyra Layer;Astra Labs Inc.
Nova Stack Vault EchoLabs;Nova Stack Vault;EchoLabs Industries Inc.
TealDrive Plus Max;Silver Matrix;RedStone Labs Inc.
AuroraCase Max Ultra;Argo Sync;Glacier Labs Inc.
ArgoNode Max;Cobalt Wave;Crown Components Inc.
NovaStand Max;Nova Node;Aurora Industries Inc.
OrionStand Max;Nova Node;Aurora Industries Inc.
Topaz Frame EchoLabs;Topaz Frame;EchoLabs Industries Inc.
Atlas Fabric Kernel GoldenGate;Atlas Fabric Kernel;GoldenGate Works Inc.
Violet Wave Vector BlueRiver;Violet Wave Vector;BlueRiver Technologies Inc.
PhotonBeam Lite;Mint Core;Cinder Works Inc.
Violet Wave Vector Copperline;Violet Wave Vector;Copperline Group Inc.
CobaltStand Edge Gen Lite;Echo Beam;Aurora Systems Inc.
PulseStand Plus Pro;Coral Sync;Crown Devices Inc.
ZenithBeam SE Lite;Beryl Engine Grid;BrightWave Technologies Inc.
JadeSpeaker SE Pro Max;Astra Matrix;Ironwood Components Inc.
GoldenCam Lite;Nova Stack Vault / Echo Vault;Riverstone Works Inc.
LumenCam Lite;Nova Stack Vault;BrightWave Manufacturing Inc.
SummitRouter Lite;Nova Stack Vault;Riverstone Works Inc.
CrownBuds SE Max Ultra;Indigo Pulse Link;Starlight Systems Inc.
Nova Stack Vault Mosaic;Nova Stack Vault;Mosaic Group Inc.
UmberSpeaker SE Mini SE;Vega Pulse Sense;Clearwater Technologies Inc.
SolHub Mini SE Air;Zen Engine;BrightWave Labs Inc.
AuroraHub Edge;Frost Matrix;Nightfall Works Inc.
PulseSpeaker Max;Teal Beam;Crown Devices Inc.
UmberHub Gen SE;Copper Spark / Coral Fabric Signal;Nightfall Technologies Inc.
Cedar Beam BrightWave;Cedar Beam;BrightWave Manufacturing Inc.
SyncBuds Lite Ultra;Sol Frame;Seabird Manufacturing Inc.
SummitWatch Edge Gen;Cedar Engine / Beryl Hub;Aurora Group Inc.
Ruby Grid GoldenGate;Ruby Grid;GoldenGate Works Inc.
Atlas Fabric Kernel Lighthouse;Atlas Fabric Kernel;Lighthouse Technologies Inc.
Astra Engine Fabric Glacier;Astra Engine Fabric;Glacier Manufacturing Inc.
AstraStand Gen Gen;Vega Shield;Ironwood Components Inc.
ZenithStand Mini Max Ultra;Luna Shield Spark;Skylark Manufacturing Inc.
ArgoPad SE Ultra;Azure Kernel Link;Quantum Electronics Inc.
BridgeBuds Lite Pro;Astra Wave;Glacier Manufacturing Inc.
HelioCase SE;Citrine Signal / Coral Shield / Nova Node Stack;Cinder Works Inc.
PhotonBook SE Mini SE;Lyra Drive Core;Summit Works Inc.
ArgoHub Max Ultra;Sierra Engine Flex;Skyforge Networks Inc.
Ruby Grid EchoLabs;Ruby Grid;EchoLabs Industries Inc.
Aero Module Arc GoldenGate;Aero Module Arc;GoldenGate Labs Inc.
CrimsonRouter Edge;Pulse Matrix;Astra Labs Inc.
CrownKey Edge Lite;Saffron Kernel Dock;NovaWorks Devices Inc.
GoldenDrive SE Plus;Silver Vector;Mosaic Systems Inc.
Magenta Stack Evergreen;Magenta Stack;Evergreen Industries Inc.
SignalCam Ultra SE;Ember Frame;Mosaic Holdings Inc.
Cedar Signal Flex Lighthouse;Cedar Signal Flex;Lighthouse Works Inc.
Astra Kernel Hub EchoLabs;Astra Kernel Hub;EchoLabs Industries Inc.
SyncBeam Plus Gen;Cobalt Signal;Nightfall Networks Inc.
GlacierLink Max Air;Ruby Engine Mesh;Crown Devices Inc.
CopperStand SE Air Plus;Kairo Shield;Copperline Group Inc.
SonicHub SE Pro;Pulse Matrix;Arbor Systems Inc.
OpalSpeaker Ultra Ultra;Kairo Fabric Bridge / Slate Beam / Magenta Core;Aurora Industries Inc.
PhotonCam Edge;Orion Engine Wave;Copperline Group Inc.
CatalystNode Edge Gen Lite;Quartz Engine Drive;Windmill Electronics Inc.
WaveDrive Lite;Umbral Core;BlueRiver Technologies Inc.
Kairo Pulse NovaWorks;Kairo Pulse;NovaWorks Industries Inc.
SlateKey Mini Edge Gen;Ruby Engine Mesh;Stonebridge Holdings Inc.
ArgoPad Edge Max;Sonic Node Drive;Lumen Labs Inc.
NovaCam Gen SE;Ruby Wave Beam;Seabird Manufacturing Inc.
AstraHub Max Pro;Pearl Engine;BrightWave Works Inc.
CitrineDock Mini;Sierra Module Hub;GoldenGate Manufacturing Inc.
EdgeRouter Mini Pro Max;Argo Fabric Pulse / Slate Beam / Frost Fabric Wave;Lighthouse Technologies Inc.
EdgeWatch SE Mini SE;Sierra Pulse Layer;Harbor Systems Inc.
BeamNode Ultra SE;Astra Vault / Cobalt Bridge Bridge / Topaz Wave;Mosaic Systems Inc.
SenseStand Ultra;Crimson Engine / Zen Spark;Cinder Technologies Inc.
AtlasSpeaker SE SE Air;Zen Spark;Catalyst Devices Inc.
SlatePhone Ultra Max;Quanta Sync;Quantum Technologies Inc.
CoreLink Mini SE;Onyx Link;Astra Networks Inc.
NimbusCam Gen;Citrine Mesh;Crown Devices Inc.
FlexCase Lite;Topaz Layer;Skylark Manufacturing Inc.
RubyKey Pro Pro;Jade Pulse Module;Nightfall Labs Inc.
SenseDrive Ultra Gen;Jade Pulse Module;Nightfall Labs Inc.
QuartzDrive Mini Pro;Umbral Core;Nebula Systems Inc.
SyncPhone SE Pro Max;Golden Pulse;Crown Group Inc.
SlateHub Mini Lite Mini;Cerulean Kernel Flow;Starlight Group Inc.
LyraHub SE Air;Topaz Layer;Skylark Manufacturing Inc.
NovaNode Plus Ultra;Cinder Hub;Astra Networks Inc.
SummitBuds SE Plus Pro;Auric Engine / Saffron Node Fabric;Windmill Technologies Inc.
PhotonNode;Sonic Bridge Vault / Ivory Mesh;EchoLabs Industries Inc.
Cedar Beam Starlight;Cedar Beam;Starlight Industries Inc.
BeamBeam Lite Mini SE;Ruby Grid;GoldenGate Electronics Inc.
TopazKey Edge Max;Saffron Kernel Dock;NovaWorks Devices Inc.
GlacierCase SE;Ivory Module;Skyforge Works Inc.
WaveBook Mini;Atlas Bridge Vector / Ivory Mesh;EchoLabs Industries Inc.
TerraCharge Mini Mini;Umbral Wave Flex;Arbor Group Inc.
CitrineCharge SE;Lime Layer;Saffron Systems Inc.
TealCharge Gen Max;Crimson Hub / Helio Core / Astra Core / Pulse Core / Helio Engine;Stonebridge Holdings Inc.
AtlasRouter Mini;Magenta Matrix Signal;Catalyst Group Inc.
Maple Grid Vault BrightWave;Maple Grid Vault;BrightWave Manufacturing Inc.
SaffronDrive Max;Umbral Core;Atlas Electronics Inc.
MintNode Gen Pro;Umbral Core;Clearwater Technologies Inc.
BeamCam Edge;Lyra Engine;RedStone Electronics Inc.
EchoKey SE Lite;Atlas Sync;Crown Devices Inc.
Nimbus Flex Ironwood;Nimbus Flex;Ironwood Devices Inc.
CrownStand Pro Max Ultra Edge;Helio Kernel Sense;Cinder Networks Inc.
NimbusBeam Plus Pro;Auric Sense;Evergreen Holdings Inc.
SilverBuds Edge Air;Sierra Hub / Golden Hub;Sunpeak Systems Inc.
KairoStand Mini;Cobalt Matrix;Stonebridge Group Inc.
WaveCase Edge Gen;Nimbus Sync / Quartz Beam;Catalyst Holdings Inc.
CitrinePad Pro Gen;Onyx Spark / Magenta Kernel;Stonebridge Industries Inc.
AtlasWatch SE;Cobalt Signal;Mosaic Holdings Inc.
GraphiteLink Mini Mini SE;Cedar Matrix;Stonebridge Holdings Inc.
Maple Grid Vault EchoLabs;Maple Grid Vault;EchoLabs Industries Inc.
HarborCam SE Max Ultra;Crimson Wave;Evergreen Systems Inc.
CopperDock Pro Lite;Orion Link Hub;Evergreen Holdings Inc.
CrimsonLink Mini Air Plus;Quartz Wave Dock;Harbor Devices Inc.
Sol Sync RedStone;Sol Sync;RedStone Networks Inc.
EchoStand Edge;Sierra Hub / Golden Hub;Nightfall Technologies Inc.
TopazRouter Air Plus;Nimbus Sync / Quartz Beam;Skyforge Manufacturing Inc.
VegaKey Edge Mini;Quartz Engine Drive;Clearwater Technologies Inc.
SparkBook SE Edge;Copper Pulse Drive;RedStone Technologies Inc.
AuroraHub SE Gen;Copper Kernel Spark;Mosaic Systems Inc.
SyncKey Max;Copper Kernel Spark;Mosaic Systems Inc.
Kairo Pulse Astra;Kairo Pulse;Astra Electronics Inc.
FlexLink Pro Mini;Cedar Edge;Crown Industries Inc.
GoldenSpeaker Ultra Gen;Cinder Stack Shield / Helio Engine;DeepField Industries Inc.
WaveRouter SE Mini SE;Opal Shield Kernel;Nightfall Works Inc.
PhotonHub Edge SE;Argo Bridge;Riverstone Labs Inc.
PhotonCase Mini Gen Lite;Sol Shield;Copperline Group Inc.
CrimsonLink Pro Max;Zen Module / Azure Signal Edge;Saffron Systems Inc.
GoldenPhone Mini Mini SE;Saffron Grid;Highland Devices Inc.
EdgeStand Ultra;Maple Flex / Atlas Matrix Stack;Nightfall Works Inc.
AuroraWatch Edge Ultra;Maple Engine / Vega Module;Saffron Systems Inc.
CrownBeam Mini Gen Lite;Violet Matrix / Mint Mesh;Mosaic Group Inc.
GraphiteDrive Air;Umbral Sense;Photon Networks Inc.
HarborDock Pro;Echo Link;Summit Labs Inc.
Quartz Kernel Windmill;Quartz Kernel;Windmill Manufacturing Inc.
AstraBook Pro;Echo Sync / Coral Shield Shield / Quartz Beam;BrightWave Manufacturing Inc.
ZenithHub Max Edge;Sierra Engine Flex;Skyforge Networks Inc.
Umber Drive Spark Northwind;Umber Drive Spark;Northwind Manufacturing Inc.
SolKey Pro Mini;Astra Drive;Astra Electronics Inc.
CitrineDrive Mini Max;Umbral Engine Dock;Skyforge Networks Inc.
VegaLink Pro Pro;Astra Drive;Astra Electronics Inc.
PearlDock Edge Mini;Aero Spark;EchoLabs Industries Inc.
GraphiteSpeaker Mini Mini;Helio Engine Core;Sunpeak Holdings Inc.
PearlPad Pro Plus;Terra Grid / Nova Matrix Beam;BlueRiver Technologies Inc.
Argo Layer Harbor;Argo Layer;Harbor Systems Inc.
CoreNode Gen Mini;Coda Drive Module;Quantum Electronics Inc.
NovaLink Edge Ultra;Copper Sense;Riverstone Works Inc.
Kairo Pulse Seabird;Kairo Pulse;Seabird Labs Inc.
MintKey Ultra Ultra;Slate Stack;Ironwood Devices Inc.
HarborDrive Air;Crimson Pulse;Harbor Devices Inc.
IndigoBeam Ultra Gen;Sol Engine Mesh / Slate Beam / Magenta Core;Aurora Industries Inc.
AtlasCase Mini Mini SE;Silver Link;GoldenGate Networks Inc.
PhotonBeam Mini SE;Nova Fabric;Riverstone Works Inc.
VectorRouter Gen;Astra Sync / Coda Frame;Ironwood Group Inc.
Maple Grid Vault Zenith;Maple Grid Vault;Zenith Industries Inc.
FlexSpeaker Ultra;Echo Signal;Evergreen Holdings Inc.
Nova Stack Vault Saffron;Nova Stack Vault;Saffron Industries Inc.
Silver Kernel Beam Lumen;Silver Kernel Beam;Lumen Labs Inc.
Kairo Pulse Windmill;Kairo Pulse;Windmill Networks Inc.
RubyStand Pro Max;Coral Layer / Golden Drive;Pinecone Components Inc.
ArgoRouter Edge Plus;Pearl Node;BrightWave Labs Inc.
Teal Layer BrightWave;Teal Layer;BrightWave Technologies Inc.
SlateSpeaker Ultra Pro;Onyx Engine Vault;Astra Networks Inc.
OnyxKey Mini Max Ultra;Indigo Frame;Springboard Holdings Inc.
HarborCharge Pro Edge;Lime Wave Spark / Zen Module;Atlas Electronics Inc.
Kairo Pulse BlueRiver;Kairo Pulse;BlueRiver Manufacturing Inc.
CrownWatch Edge Mini;Cedar Engine / Zen Module / Beryl Hub;Meadow Technologies Inc.
ZenithDock Gen Edge;Nova Stack Vault;Cinder Manufacturing Inc.
CoreKey Pro Max Ultra Edge;Slate Flex / Mint Frame;Stonebridge Holdings Inc.
TealLink Max Ultra;Slate Flex / Mint Frame;Stonebridge Holdings Inc.
TealKey Gen Lite Mini;Slate Flex / Mint Frame;Photon Labs Inc.
SlateCase Air;Nimbus Beam;Springboard Holdings Inc.
MiraHub Ultra Mini;Citrine Node Mesh;Mosaic Systems Inc.
AstraDrive Edge Plus;Cedar Engine;Meadow Technologies Inc.
Cobalt Signal Atlas;Cobalt Signal;Atlas Electronics Inc.
Coda Kernel Frame RedStone;Coda Kernel Frame;RedStone Networks Inc.
BeamWatch SE Mini SE;Coda Drive Module;Quantum Electronics Inc.
Silver Kernel Beam Mosaic;Silver Kernel Beam;Mosaic Group Inc.
LumenDrive Edge Pro;Cedar Engine / Beryl Hub;Meadow Technologies Inc.
SilverPad Lite Gen;Cedar Engine / Beryl Hub;Meadow Technologies Inc.
NimbusNode Lite;Copper Grid / Ember Node Sync / Auric Core / Opal Beam / Echo Hub / Cerulean Dock / Azure Core;SilverLine Industries Inc.
NovaHub Edge Lite;Frost Fabric;Evergreen Holdings Inc.
BridgeStand SE Pro;Ember Engine;Astra Works Inc.
VegaCam Mini Lite Mini;Echo Pulse Wave;Catalyst Systems Inc.
WaveBook SE Air Plus;Nimbus Arc;Atlas Works Inc.
VectorCam Edge Gen;Nimbus Spark;Clearwater Manufacturing Inc.
Kairo Pulse Quantum;Kairo Pulse;Quantum Networks Inc.
CopperPad Lite Edge;Cedar Engine;Meadow Technologies Inc.
CodaStand Air Plus;Sol Node Edge;Photon Electronics Inc.
SlateDock Ultra;Ruby Grid;Windmill Manufacturing Inc.
HarborNode Max Plus;Slate Stack Matrix;Zenith Devices Inc.
EdgeRouter SE Air;Sol Node Edge;Stonebridge Devices Inc.
Kairo Fabric Bridge Aurora;Kairo Fabric Bridge / Slate Beam / Magenta Core;Aurora Industries Inc.
NovaPad SE Air Plus;Ember Signal;Mosaic Holdings Inc.
TopazHub;Delta Edge;Sunpeak Systems Inc.
CrimsonBook SE;Atlas Engine Drive / Slate Beam / Magenta Core;Aurora Industries Inc.
DriveBeam SE;Umbral Kernel Fabric / Pulse Dock;Ironwood Components Inc.
Umbral Sense Mountain;Umbral Sense;Mountain Industries Inc.
AzureBook Edge Gen;Sonic Engine Shield / Slate Beam / Magenta Core;Skyforge Manufacturing Inc.
LumenPad Mini;Delta Module;Lumen Works Inc.
MintCam Edge;Cedar Engine;Meadow Technologies Inc.
TealCharge Pro Air;Quartz Bridge;DeepField Industries Inc.
GraphiteBuds Lite Mini SE Air;Sierra Link Module;Seabird Manufacturing Inc.
NimbusBeam Plus Pro;Auric Sense;Evergreen Holdings Inc.
CobaltLink Max Ultra;Delta Hub;Crown Group Inc.
SparkLink Plus Air;Onyx Node;Summit Works Inc.
AzureCharge Max Mini;Azure Core Arc;Highland Industries Inc.
CatalystCharge Air;Opal Signal Pulse;Clearwater Works Inc.
Kairo Pulse Harbor;Kairo Pulse;Harbor Systems Inc.
NovaNode Plus Pro Max;Sol Signal Grid;DeepField Industries Inc.
EchoNode Pro Max Ultra Edge;Sol Signal Grid;DeepField Industries Inc.
MintStand Mini SE Air;Sol Signal Grid;DeepField Industries Inc.
WaveCam Mini;Auric Node;Arbor Systems Inc.
SlateStand Edge;Maple Grid Vault;Highland Group Inc.
TealStand Lite Mini SE Air;Sol Signal Grid;DeepField Industries Inc.
OrionNode Edge Air;Teal Kernel Bridge;Evergreen Systems Inc.
CrimsonPhone Ultra;Nimbus Beam;Springboard Holdings Inc.
SonicDock Plus Pro Max;Mint Grid;DeepField Industries Inc.
RubyNode Lite Edge;Copper Module;Zenith Industries Inc.
SparkNode Lite Pro;Cedar Engine;Meadow Technologies Inc.
GoldenBuds Edge Plus;Opal Signal;Crown Group Inc.
SparkRouter Max Air;Beryl Link;Astra Networks Inc.
KairoBeam Ultra;Azure Shield;Clearwater Technologies Inc.
IndigoDock Mini Mini SE;Argo Sync;BlueRiver Manufacturing Inc.
RubyWatch SE Mini SE;Crimson Wave;Springboard Holdings Inc.
SummitCam SE Pro Max;Coral Kernel Bridge;Riverstone Technologies Inc.
QuartzDrive;Coral Kernel Bridge;Riverstone Technologies Inc.
HarborDrive Plus Mini;Umbral Wave;Astra Networks Inc.
RubyDrive Plus Mini;Quartz Engine Drive;Astra Networks Inc.
EdgeLink Gen;Crimson Matrix Beam;Lumen Electronics Inc.
PearlKey Mini Ultra Edge;Coral Sync;Arbor Systems Inc.
JadeBeam Edge;Sol Sync;DeepField Industries Inc.
TerraKey Ultra Max;Magenta Pulse Engine;Meadow Labs Inc.
LumenPad Edge Pro;Copper Grid / Ember Node Sync / Indigo Module Frame / Magenta Dock / Ivory Dock;Aurora Industries Inc.
CodaPad Edge SE;Lime Mesh;Lumen Works Inc.
CodaHub SE Mini;Umbral Wave Flex;Arbor Group Inc.
JadePhone Plus SE;Argo Sync;BlueRiver Manufacturing Inc.
SilverStand Air Plus Pro;Umbral Core;Astra Networks Inc.
SlatePhone Mini Ultra Edge;Argo Sync;BlueRiver Manufacturing Inc.
SlateDrive Gen;Cinder Bridge Module;Springboard Holdings Inc.
OrionKey Max Ultra;Sierra Sync;Seabird Works Inc.
TealPad Mini Mini SE;Topaz Module;Astra Networks Inc.
TopazCase Max;Aero Fabric Hub;Starlight Devices Inc.
SenseBuds SE Air Plus;Lyra Drive Core;Pinecone Devices Inc.
Terra Node Core Atlas;Terra Node Core;Atlas Electronics Inc.
QuartzNode Plus;Mint Module;RedStone Technologies Inc.
SenseWatch Edge Air;Cedar Engine Vector;Summit Labs Inc.
IndigoCharge Max Edge;Nimbus Link Drive;DeepField Industries Inc.
CoreBuds Mini Gen Lite;Opal Signal Pulse;DeepField Industries Inc.
SyncDrive Plus Pro;Copper Grid / Ember Node Sync / Auric Core / Nimbus Hub / Terra Engine;Aurora Industries Inc.
SyncRouter Mini Mini SE;Umbral Kernel Fabric;Windmill Networks Inc.
AtlasWatch Pro Lite;Umbral Kernel Fabric;Windmill Networks Inc.
SilverCase Lite Lite;Topaz Module;Pinecone Group Inc.
CitrinePad Mini Max;Topaz Module;Catalyst Devices Inc.
WaveNode Mini SE Air;Cedar Engine Vector;Summit Labs Inc.
CoreBuds Mini Gen Lite;Opal Signal Pulse;DeepField Industries Inc.
ZenithDrive Pro SE;Auric Node;Arbor Systems Inc.
EchoRouter Max;Astra Kernel Hub;Arbor Systems Inc.
IndigoBook Pro Max;Teal Shield Shield;Evergreen Components Inc.
MintCam Pro Ultra;Teal Layer;Orion Works Inc.
SummitStand Lite;Zen Hub / Vega Fabric Core / Orion Fabric Engine;Aurora Systems Inc.
AstraStand Mini Air Plus;Umbral Mesh;Orion Electronics Inc.
SyncBuds SE Mini SE;Graphite Beam;Harbor Industries Inc.
OrionCase Mini SE Air;Copper Grid / Ember Node Sync / Auric Module Vector / Slate Pulse;Quantum Works Inc.
GoldenDrive Pro Gen;Argo Spark;Nightfall Labs Inc.
EchoStand Mini SE Air;Graphite Edge;BrightWave Technologies Inc.
SolRouter SE Gen;Cinder Sync;Arbor Group Inc.
SenseNode Ultra;Lime Grid;NovaWorks Systems Inc.
NovaPhone Edge;Aero Kernel Shield;Springboard Holdings Inc.
HelioCharge Ultra Mini;Copper Grid / Ember Node Sync / Nova Hub;Aurora Devices Inc.
PulseNode Ultra SE;Nova Core;Lighthouse Networks Inc.
